Radx Parts Pricing Engine — Master List,,,,,,,,,,
Source: OEM Suppliers | Updated: 20/03/2026 | VAT Rate: 15% | Phase 1: Co-Pilot Lookup,,,,,,,,,,
,,,,,,,,,,
#,Part Number,Part Name,Vehicle Model,Supplier,Category,Supplier Price (R),Margin %,Radx Price Excl VAT (R),VAT (R),Total Incl VAT (R)
1,52131WC009,Reinforcement Fr Bu,Vitz,RadX(Toyota Honeydew),OEM,"1,686.21",12.0%,"1,888.56",283.28,"2,171.84"
2,53301WC009,Hood Sub-Assy,Vitz,RadX(Toyota Honeydew),OEM,"2,375.78",12.0%,"2,660.87",399.13,"3,060.00"
3,53205WC009,Support Sub-Assy Ra,Vitz,RadX(Toyota Honeydew),OEM,"1,217.40",12.0%,"1,363.49",204.52,"1,568.01"
4,57104WC004,Member Sub-Assy Fr,Vitz,RadX(Toyota Honeydew),OEM,"1,223.08",12.0%,"1,369.85",205.48,"1,575.33"
5,52119WC012,Cover Fr Bumper,Vitz,RadX(Toyota Honeydew),OEM,"2,165.63",12.0%,"2,425.51",363.83,"2,789.33"
6,53112WC007,Grille Radiator Lw,Vitz,RadX(Toyota Honeydew),OEM,"1,250.89",12.0%,"1,401.00",210.15,"1,611.15"
7,53152WC001,Guide Radiator Gril,Vitz,RadX(Toyota Honeydew),OEM,299.52,12.0%,335.46,50.32,385.78
8,53111WC012,Grille Radiator,Vitz,RadX(Toyota Honeydew),OEM,"1,382.10",12.0%,"1,547.95",232.19,"1,780.14"
9,53811WC013,Panel Fr Fender Rh,Vitz,RadX(Toyota Honeydew),OEM,"1,868.77",12.0%,"2,093.02",313.95,"2,406.98"
10,53812WC014,Panel Fr Fender Lh,Vitz,RadX(Toyota Honeydew),OEM,"1,868.77",12.0%,"2,093.02",313.95,"2,406.98"
11,53875WC008,Liner Fr Fender Rh,Vitz,RadX(Toyota Honeydew),OEM,"1,315.59",12.0%,"1,473.46",221.02,"1,694.48"
12,53876WC007,Liner Fr Fender Lh,Vitz,RadX(Toyota Honeydew),OEM,"1,315.59",12.0%,"1,473.46",221.02,"1,694.48"
13,81130WC020,Unit Assy Headlamp,Vitz,RadX(Toyota Honeydew),OEM,"3,684.41",12.0%,"4,126.54",618.98,"4,745.52"
14,81170WC020,Unit Assy Headlamp,Vitz,RadX(Toyota Honeydew),OEM,"3,684.41",12.0%,"4,126.54",618.98,"4,745.52"
15,16400WC015,Radiator Assy,Vitz,RadX(Toyota Honeydew),OEM,"5,364.74",12.0%,"6,008.51",901.28,"6,909.79"
16,88460WC010,Condenser Assy,Vitz,RadX(Toyota Honeydew),OEM,"6,326.96",12.0%,"7,086.20","1,062.93","8,149.12"
17,53510WC021,Lock Assy Hood,Vitz,RadX(Toyota Honeydew),OEM,511.93,12.0%,573.36,86.00,659.37
18,52159WC016,Cover Rr Bumper,Vitz,RadX(Toyota Honeydew),OEM,"2,165.63",12.0%,"2,425.51",363.83,"2,789.33"
19,52575WC009,Retainer Rr Bumper,Vitz,RadX(Toyota Honeydew),OEM,485.64,12.0%,543.92,81.59,625.50
20,52576WC010,Retainer Rr Bumper,Vitz,RadX(Toyota Honeydew),OEM,485.64,12.0%,543.92,81.59,625.50
21,75125WC001,Bracket License Pla,Vitz,RadX(Toyota Honeydew),OEM,230.35,12.0%,257.99,38.70,296.69
22,52753WC001,Moulding Rr Bumper,Vitz,RadX(Toyota Honeydew),OEM,520.45,12.0%,582.90,87.44,670.34
