claim_number,external_claim_number,spm,risk_number,broker_name,product_name,claim_handler,createdAt,updatedAt
18767-18653,"SPM 406470/7/18",406470,20000,"Direct Axis SA (Pty) Ltd",RTU,Gizela.Dlodlo,NULL,NULL
18768-18654,"SPM 406571/7/18",406571,56684,"Primak Insurance Brokers (Pty) Ltd",RTU,Gizela.Dlodlo,NULL,NULL
18771-18656,"SPM 406661/7/18",406661,2138,"Waldo Smit Maakelaars",RTU,Nikki.Pearmain,NULL,NULL
18773-18658,"SPM 406916/7/18",406916,6610,"First Step Life and Investment Planners (Pty) Ltd",RTU,Nikki.Pearmain,NULL,NULL
18774-18659,"SPM 406937/7/18",406937,7593,"Taccsure Insurance Brokers",RTU,Gizela.Dlodlo,NULL,NULL
18775-18660,"SPM 406986/7/18",406986,61768,"Vena Insurance Brokers CC",RTU,Gizela.Dlodlo,NULL,NULL
18780-18664,"SPM 407361/7/18",407361,47485,"Taccsure Insurance Brokers",RTU,Nikki.Pearmain,NULL,NULL
18781-18665,"SPM 407373/7/18",407373,59049,"Ikhethelo Brokers",RTU,Gizela.Dlodlo,NULL,NULL
18783-18666,"SPM 407407/7/18",407407,3743,"StopLoss Insurance Brokers Hazyview (Pty) Ltd",RTU,Gizela.Dlodlo,NULL,NULL
18784-18667,"SPM 407419/7/18",407419,48152,"Curnow KZN Insurance Brokers",RTU,Gizela.Dlodlo,NULL,NULL
18785-18668,"SPM 407551/7/18",407551,62871,"Ikhethelo Brokers",RTU,Nikki.Pearmain,NULL,NULL
18787-18670,"SPM 407889/7/18",407889,46603,Tele-Tech,RTU,Nikki.Pearmain,NULL,NULL
18789-18672,"SPM 408126/7/18",408126,2139,"Waldo Smit Maakelaars",RTU,Nikki.Pearmain,NULL,NULL
18791-18674,"SPM 408232/7/18",408232,40214,"Ikhethelo Brokers",RTU,Nikki.Pearmain,NULL,NULL
18792-18675,"SPM 408481/7/18",408481,7830,"Zamokuhle Property and Shareholding",RTU,Gizela.Dlodlo,NULL,NULL
18793-18676,"SPM 408546/7/18",408546,30721,"Sihle Insurance Consultants cc",RTU,Nikki.Pearmain,NULL,NULL
18794-18677,"SPM 408778/7/18",408778,48353,"Taccsure Insurance Brokers",RTU,Gizela.Dlodlo,NULL,NULL
18795-18678,"SPM 408828/7/18",408828,49343,"Ikhethelo Brokers",RTU,Gizela.Dlodlo,NULL,NULL
18796-18679,"SPM 409026/7/18",409026,51325,"Ikhethelo Brokers",RTU,Gizela.Dlodlo,NULL,NULL
18797-18680,"SPM 409038/7/18",409038,55353,"Multi Risk Brokers - sub agent of Proficient",RTU,Nikki.Pearmain,NULL,NULL
18798-18681,"SPM 409216/7/18",409216,57887,"L and S Insurance Brokers CC",RTU,Nikki.Pearmain,NULL,NULL
18799-18682,"SPM 409537/7/18",409537,23681,"Constellation Financial Services (Pty) Ltd ",RTU,Gizela.Dlodlo,NULL,NULL
18800-18683,"SPM 409549/7/18",409549,23555,"Waldo Smit Maakelaars",RTU,Nikki.Pearmain,NULL,NULL
18803-18686,"SPM 409722/7/18",409722,2252,"Craig Tunbridge & Associates (Pty) Ltd t/as CTA Insurance Brokers",RTU,Gizela.Dlodlo,NULL,NULL
18804-18687,"SPM 409913/7/18",409913,3640,"StopLoss Insurance Brokers Hazyview (Pty) Ltd",RTU,Nikki.Pearmain,NULL,NULL
18808-18690,"SPM 410375/7/18",410375,56684,"Primak Insurance Brokers (Pty) Ltd",RTU,Gizela.Dlodlo,NULL,NULL
